,source,text,date,retweet_count,favorite_count,id_str,time
21531,Twitter for iPhone,If they actually did this the markets would crash. Do you think it was luck that got us to the best Stock Market and Economy in our history. It wasn’t! https://t.co/V0WGVWEWTN,2019-09-26,8015,34282,1177179678873968640,11:14:41.000000
21751,Twitter for iPhone,"RT @DailySignal: As the Index of Economic Freedom shows, countries that implement free-market policies enable women to make their own econo…",2019-10-02,6509,0,1179397444091699200,14:07:17.000000
22382,Twitter for iPhone,"RT @IvankaTrump: Thru #WGDP’s partnership w/ @WorldBank, #WeFi, $2.6 Billion will be mobilized for women entrepreneurs in 26 developing cou…",2019-10-20,8101,0,1185798145902555136,06:01:23.000000
22448,Twitter for iPhone,RT @JessicaDitto45: “Empowering half the world’s population to flourish in the market economy is the best way to boost growth.” #WGDP https…,2019-10-22,6667,0,1186644947954483200,14:06:17.000000
22757,Twitter for iPhone,Stock Market up BIG! Record highs for S&amp;P 500 and NASDAQ. Enjoy!,2019-11-01,19073,88249,1190269494788263936,14:08:56.000000
22872,Twitter for iPhone,"RT @TrumpWarRoom: ""So today, we just hit the highest number in the history of the stock market. ... That's for everybody. Your 401(k)'s, ho…",2019-11-05,6101,0,1191580192386494464,04:57:11.000000
22962,Twitter for iPhone,"RT @IvankaTrump: An impactful day in Morocco, where we furthered all 3 pillars of #WGDP 🇺🇸🇲🇦⬇️
💫 Women Prospering in the Workforce 
💫 Women…",2019-11-09,5567,0,1193132232048889856,11:44:26.000000
22987,Twitter for iPhone,"RT @Varneyco: STU: ""Look what we have now! A growing #economy, full #employment, rapidly rising #wages, #stockmarket record highs! How do y…",2019-11-09,4576,0,1193136819740794880,12:02:39.000000
23171,Twitter for iPhone,https://t.co/YqJrGDPAOj,2019-11-17,12805,41478,1195889880540336128,02:22:20.000000
23187,Twitter for iPhone,RT @realDonaldTrump: https://t.co/YqJrGDPAOj,2019-11-17,12843,0,1196113950917758976,17:12:43.000000
23233,Twitter for iPhone,NASDAQ UP 27% THIS YEAR ALONE!,2019-11-19,20293,105699,1196791181163847680,14:03:47.000000
23343,Twitter for iPhone,"“DOW, NASDAQ, S&amp;P 500 CLOSE AT RECORD HIGHS” https://t.co/q8IuuuUGjb",2019-11-25,21997,85724,1199091814340472832,22:25:41.000000
